Id,TagName,Count,ExcerptPostId,WikiPostId,frequncy
1176,bootstrap,971,414811,414810,0.00304211
1110,vkontakte-api,638,416293,416292,0.00199883
437,android-sdk,569,417176,417175,0.00178266
2172,android-fragment,457,NULL,NULL,0.00143177
47,mvc,443,414815,414814,0.0013879
1621,activity,418,617002,617001,0.00130958
201,google-maps-api,348,467741,467740,0.00109027
1201,golang,337,413112,413111,0.00105581
428,cookie,334,414822,414821,0.00104641
335,cms,324,415010,415009,0.00101508
534,gui,295,415019,415018,0.000924225
244,google,290,416148,416147,0.000908561
926,form,284,NULL,NULL,0.000889763
410,servlet,246,477012,477011,0.00077071
522,network,222,427105,427104,0.000695519
644,framework,199,422925,422924,0.00062346
1499,symfony2,196,438588,438587,0.000614062
852,div,194,425844,425843,0.000607796
246,yandex-maps-api,192,433691,433690,0.00060153
2410,express.js,167,415065,415064,0.000523205
1049,plugin,164,NULL,NULL,0.000513806
5574,sublime-text,153,515622,515621,0.000479344
9,chrome-extension,148,589742,589741,0.000463679
1166,asynctask,148,492029,492028,0.000463679
1115,webbrowser,142,NULL,NULL,0.000444881
625,ui,134,425867,425866,0.000419817
405,visual-basic,133,598912,598911,0.000416684
2152,qtcreator,127,517514,517513,0.000397887
177,bat,121,NULL,NULL,0.000379089
850,facebook-api,120,NULL,NULL,0.000375956
704,denwer,118,419777,419776,0.00036969
1949,css-animation,113,NULL,NULL,0.000354025
189,mac,108,417253,417252,0.00033836
2057,viewpager,103,NULL,NULL,0.000322695
837,mod_rewrite,103,NULL,NULL,0.000322695
993,font,102,NULL,NULL,0.000319562
1839,update,101,553588,553587,0.000316429
1872,composer,101,416280,416279,0.000316429
745,event,101,NULL,NULL,0.000316429
1334,phonegap,93,NULL,NULL,0.000291366
1243,auth,90,NULL,NULL,0.000281967
717,if,89,NULL,NULL,0.000278834
2029,intent,88,526528,526527,0.000275701
755,cache,87,NULL,NULL,0.000272568
106,xmlparser,87,NULL,NULL,0.000272568
1100,fileupload,86,NULL,NULL,0.000269435
669,office,80,NULL,NULL,0.000250637
841,style,79,NULL,NULL,0.000247504
1745,scss,79,510770,510769,0.000247504
5088,sublime-text-3,77,NULL,NULL,0.000241238
