Id,TagName,Count,ExcerptPostId,WikiPostId,frequncy
3,javascript,1339816,3624960,3607052,0.0335062
17,java,1223220,3624966,3607018,0.0305903
9,c#,1068888,3624962,3607007,0.0267308
5,php,1047779,3624936,3607050,0.0262029
1386,android,960996,3625001,3607484,0.0240326
820,jquery,822436,3625262,3607053,0.0205675
16,python,715171,3624965,3607014,0.017885
2,html,632135,3673183,3673182,0.0158085
10,c++,502132,3624963,3606997,0.0125573
58338,ios,495880,4536664,4536663,0.012401
4,css,455125,3644670,3644669,0.0113818
21,mysql,450707,3624969,3607033,0.0112713
22,sql,376152,3625226,3607304,0.00940682
96,asp.net,311115,3625232,3607037,0.00778037
7003,objective-c,274166,3625129,3607044,0.00685635
4984,ruby-on-rails,269307,3625098,3607365,0.00673484
1,.net,248858,3624959,3607476,0.00622345
8,c,244538,3624961,3607013,0.00611541
78022,angularjs,223650,9580981,9580980,0.00559305
154,iphone,217006,3625240,3607496,0.00542689
72,sql-server,193773,3625231,3607030,0.00484588
1508,json,189860,4889848,4889847,0.00474802
12,ruby,178146,3624964,3607043,0.00445508
4452,r,173919,3625322,3607736,0.00434937
363,ajax,164813,3877045,3877044,0.00412165
46426,node.js,163570,4238969,4238968,0.00409056
19,xml,154026,3624968,3607588,0.00385189
470,asp.net-mvc,151584,3625253,3607478,0.00379082
58,linux,142033,3625112,3607012,0.00355197
104797,swift,138835,24001727,24001726,0.00347199
243,django,138673,3625245,3607538,0.00346794
378,wpf,128625,3624975,3607561,0.00321666
522,excel,115414,3625256,3613237,0.00288628
908,xcode,112060,3625271,3607508,0.0028024
382,wordpress,109451,3897620,3897619,0.00273715
41,vb.net,108401,3625228,3607042,0.00271089
64,windows,106675,3625230,3609881,0.00266773
1211,spring,105722,3625321,3608862,0.0026439
53,eclipse,105005,3625229,3607482,0.00262597
905,html5,100720,3632559,3632558,0.00251881
119,git,82699,3625234,3607047,0.00206814
194,oracle,81323,3625242,3607031,0.00203373
387,bash,80721,5094497,5094496,0.00201867
49,forms,79765,5602245,5602244,0.00199476
4985,image,78859,5048269,5048268,0.00197211
30073,mongodb,78742,4542745,4542744,0.00196918
2218,facebook,77679,4166421,4166420,0.0019426
1449,vba,77521,3625005,3612078,0.00193865
369,osx,75763,4979532,4979531,0.00189468
36252,winforms,72858,3639334,3639333,0.00182203
